id,name,Average Rating,Movie 0,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10,Movie 11,Movie 12,Movie 13,Movie 14,Movie 15,Movie 16,Movie 17,Movie 18,Movie 19,Movie 20,Movie 21,Movie 22,Movie 23,Movie 24,Movie 25,Movie 26,Movie 27,Movie 28,Movie 29,Movie 30,Movie 31,Movie 32,Movie 33,Movie 34,Movie 35,Movie 36,Movie 37,Movie 38,Movie 39,Movie 40,Movie 41,Movie 42,Movie 43,Movie 44,Movie 45,Movie 46,Movie 47,Movie 48,Movie 49,Movie 50,Movie 51,Movie 52,Movie 53,Movie 54,Movie 55,Movie 56,Movie 57,Movie 58,Movie 59,Movie 60,Movie 61,Movie 62,Movie 63,Movie 64,Movie 65,Movie 66,Movie 67,Movie 68,Movie 69,Movie 70,Movie 71,Movie 72,Movie 73,Movie 74,Movie 75,Movie 76,Movie 77,Movie 78,Movie 79,Movie 80,Movie 81,Movie 82
48,Sean Bean,6.466666666666666,9869.0,291081.0,710.0,27004.0,12103.0,652.0,61012.0,32657.0,122.0,286217.0,257344.0,120.0,76757.0,588.0,318850.0,121.0,256740.0,9701.0,7299.0,8195.0,62764.0,9315.0,2059.0,1635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Maria Bello,6.199999999999999,345911.0,9388.0,10744.0,228203.0,234212.0,6282.0,59.0,14012.0,18074.0,1852.0,22556.0,14112.0,8978.0,2112.0,59965.0,146233.0,38365.0,299687.0,13250.0,1735.0,109418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Catherine Deneuve,6.557142857142858,16.0,2011.0,41248.0,1958.0,11370.0,25388.0,1651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,David Morse,6.590476190476191,321741.0,686.0,497.0,11412.0,16.0,11313.0,37080.0,47327.0,11306.0,2207.0,12162.0,8271.0,12920.0,72190.0,21801.0,9631.0,9802.0,11983.0,31306.0,7870.0,71864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Peter Stormare,6.0703703703703695,16.0,392.0,95755.0,76640.0,134374.0,10771.0,10740.0,269057.0,81796.0,8838.0,12079.0,43935.0,3132.0,115.0,9963.0,180.0,9353.0,15365.0,95.0,4442.0,12100.0,330.0,8961.0,60304.0,270946.0,187017.0,8224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Luc Besson,6.296000000000003,81796.0,10047.0,4108.0,192102.0,260346.0,77459.0,82675.0,9335.0,2110.0,26389.0,62835.0,287948.0,8952.0,8681.0,10656.0,2140.0,240832.0,8053.0,254473.0,10045.0,10027.0,9992.0,264656.0,1969.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Robert Mark Kamen,6.338461538461539,4108.0,260346.0,82675.0,9335.0,62835.0,287948.0,8681.0,2140.0,254473.0,1969.0,18.0,943.0,1885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bruce Willis,6.226923076923076,7518.0,9374.0,9741.0,8944.0,186.0,146216.0,2207.0,8838.0,95.0,18.0,189.0,2026.0,562.0,12479.0,1572.0,9292.0,163.0,1573.0,39514.0,17043.0,23742.0,241254.0,5.0,3179.0,59967.0,72559.0,4824.0,76163.0,680.0,9471.0,27578.0,745.0,3172.0,12220.0,9567.0,14043.0,187.0,20694.0,19959.0,2069.0,9644.0,5172.0,83666.0,47964.0,24226.0,4244.0,2122.0,10592.0,285923.0,1571.0,9882.0,77948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Milla Jovovich,5.8999999999999995,10047.0,18.0,35791.0,44853.0,13888.0,1576.0,1577.0,44113.0,334074.0,52451.0,22824.0,9920.0,12403.0,329833.0,7737.0,9469.0,9571.0,71679.0,9398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gary Oldman,6.614285714285714,9772.0,17979.0,20504.0,18.0,13788.0,2088.0,97020.0,49444.0,2157.0,16866.0,549.0,10533.0,272.0,675.0,49730.0,674.0,49517.0,673.0,6114.0,155.0,302156.0,6521.0,319.0,18937.0,49026.0,119450.0,181283.0,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Ian Holm,6.954545454545453,2062.0,49051.0,122.0,120.0,25388.0,18.0,10705.0,10786.0,2567.0,1830.0,401.0,1946.0,768.0,9389.0,68.0,9443.0,122917.0,10217.0,36819.0,435.0,10391.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Chris Tucker,6.7,18.0,10634.0,184.0,5175.0,82693.0,9416.0,5174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Johnny Depp,6.426829268292683,22.0,392.0,768.0,8054.0,622.0,261023.0,118.0,12155.0,1587.0,57201.0,377.0,11284.0,210860.0,62213.0,1428.0,64688.0,1909.0,1865.0,792.0,1586.0,7548.0,44896.0,224141.0,9366.0,58.0,162.0,241259.0,285.0,71880.0,44826.0,3933.0,157353.0,2900.0,522.0,4133.0,1878.0,290825.0,866.0,37710.0,246403.0,11322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
