id,name
8496,Paul Fix
8502,Darryl F. Zanuck
8503,Alfred Newman
8506,Richard Day
8516,John Carradine
8524,Peter Lamont
8591,Ted Grossman
8606,Robert Shaw
8608,Murray Hamilton
8655,R. Lee Ermey
8750,Caleb Deschanel
8858,Ivan Reitman
8862,László Kovács
8875,David Margulies
8880,Neil A. Machlis
8885,Albert Wolsky
8891,John Travolta
8893,Stockard Channing
8930,John Cleese
8939,Paul Engelen
8944,Jamie Lee Curtis
8963,Karen Black
8975,Sam Waterston
9061,Jack Martin Smith
9126,Edward Fox
9208,Robert Wagner
9221,Donald Pleasence
9257,Bruno Kirby
9274,James Brolin
9402,Brian Johnson
9560,Ellen Burstyn
9565,Louise Lasser
9582,John C. Howard
9587,Walter M. Scott
9599,Cloris Leachman
9856,Ian Fleming
9858,Richard Maibaum
9861,Albert R. Broccoli
9863,Harry Saltzman
9864,Monty Norman
9867,Ted Moore
9869,Ken Adam
9874,Bernard Lee
9878,Lois Maxwell
9880,Sam Shepard
9904,Weston Drury Jr.
9906,Desmond Llewelyn
9915,Guy Hamilton
9916,Paul Dehn
9918,Peter Murton
9955,Anthony Mendleson
9964,Melissa Mathison
10017,Charlton Heston
10051,Tobe Hooper
10064,James H. Spencer
10127,Jon Voight
10179,John Glen
10187,Bill Kenney
10205,Sigourney Weaver
10222,Roger Moore
10224,Clifton James
10339,Oswald Morris
10340,Maude Spector
10367,John Waters
10380,Jim Haynie
10401,Blythe Danner
10409,Shelley Duvall
10430,Fred Ward
10460,Richard Kiel
10462,Geoffrey Keen
10468,Marvin Hamlisch
10492,Joe Eszterhas
10494,Bill Conti
10495,John Grover
10536,Alex North
10539,Kim Hunter
10548,Wendy Greene Bricmont
10556,Carol Kane
10565,Dick Cavett
10586,Richard Lester
10629,William Cruse
10639,David Watkin
10640,Fredric Steinkamp
10655,Leslie Phillips
10657,Shane Rimmer
10666,Barbara Broccoli
10706,Anthony Waye
10713,Eric Idle
10766,Paul Hirsch
10774,Anne Bancroft
10779,David Calder
10796,Robert J. Schiffer
10823,Kris Kristofferson
10829,Patrick J. Palmer
11066,Hal Holbrook
11390,Peter O'Toole
11472,Irwin Winkler
11480,Frank Sivero
11764,Ian Abercrombie
11770,John Carpenter
11772,Barry Bernardi
11779,Craig Stearns
11786,Charles Cyphers
11837,Stuart Freeborn
12017,Richard Sylbert
12021,Mia Farrow
12074,John Lithgow
12114,Michael Cimino
12122,Ron Rifkin
12134,Sally Kirkland
12150,Maximilian Schell
12235,Vilmos Zsigmond
12240,Pierre Boulle
12248,Alec Guinness
12288,Robert Evans
12401,Gary Kurtz
12415,Richard Matheson
12436,Daniel A. Lomino
12438,Bob Balaban
12439,J. Patrick McNamara
12509,Antony Gibbs
12518,Richard Jordan
12685,Tony Lawson
12846,William A. Fraker
12865,Jeff Gourson
12882,Buzz Feitshans
12900,Wallace Shawn
12936,Jim Abrahams
12987,David Zucker
12988,Paul Michael Glaser
13023,Colleen Camp
13299,Rita Moreno
13301,Quincy Jones
13321,John Box
13333,Vanessa Redgrave
13392,Arthur Malet
13410,Roy Arbogast
13563,Norman Jewison
13593,Jonathan Winters
13640,Harvey Korman
13726,Ned Beatty
13728,John McMartin
13776,John Frankenheimer
13784,Burt Lancaster
13919,Michael York
14005,Gil Parrondo
14011,Tom Courtenay
14101,John Larroquette
14253,Slim Pickens
14312,Mitchell Ryan
14328,Steve Kahan
14436,Edwin Butterworth
14457,Malcolm Campbell
14464,Jenny Agutter
14526,Daniel C. Striepeke
14639,Mel Brooks
14692,Nick Castle
14730,Angela Lansbury
14792,Josef Sommer
14801,Hal Landon Jr.
14833,Harold Gould
14852,James Karen
14884,Michael Constantine
14888,Bruce McGill
14902,Nicholas Campbell
14999,George A. Romero
15152,James Earl Jones
15175,William Friedkin
15196,David Hemmings
15358,Vic Armstrong
15413,Richard Dysart
15500,P.J. Soles
15531,Ossie Davis
16119,Charles Napier
16178,Rick Baker
16214,Mario Van Peebles
16298,Kenneth Utt
16300,Tak Fujimoto
16331,Owen Roizman
16431,Sam Elliott
16475,Burt Reynolds
16483,Sylvester Stallone
16514,Robert Chartoff
16525,Joe Spinell
16534,Janice Hampton
16552,Fred J. Brown
16589,Peter MacDonald
16593,O. Nicholas Brown
16896,James Garner
17183,Jackie Earle Haley
17356,Garrick Hagon
18071,Geoffrey Lewis
18181,David Keith
18328,Ken Howard
18364,George Segal
18857,James Sabat
18878,Rob Cohen
18998,Rosemary Harris
19153,Cliff Robertson
19439,Henry Gibson
19567,Terry Leonard
19801,Rick McCallum
20006,Christopher Reeve
20007,Jerry Siegel
20008,Joe Shuster
20011,Margot Kidder
20629,George Miller
20752,Alex Rocco
20968,Philip Rosenberg
21181,Fabio Testi
21416,William Devane
21516,Alex Thomson
21523,Ed Lauter
21561,Tim Matheson
21672,Donald E. Westlake
21731,Michael McKean
21944,Burt Kwouk
22066,Eric Larson
22383,Franco Nero
22384,John Amos
23346,Armand Assante
23349,Mary Goldberg
24278,Bill Weston
24318,Richard Benjamin
24343,Peter Mayhew
24367,John Forsythe
24368,Roscoe Lee Browne
25626,Robert Ridgely
26258,Kenneth Cranham
26472,Steve Guttenberg
26483,Valerie Perrine
26986,Rick Sharp
27116,Kevin Conway
27554,Alan Bates
28164,Charles Grodin
28240,David Eggby
28413,Carmen Argenziano
28641,Terence Stamp
29068,Ben Cross
29579,Charles Lane
29791,Lynn Redgrave
29803,Madeline Kahn
30383,Michael Grillo
30485,CCH Pounder
30715,Terrence Malick
31070,Ryan O'Neal
31364,Sarah Douglas
32494,Robert Easton
34187,Chuck Hamilton
34227,Morris Stoloff
34597,Kevin McCarthy
34901,Joanna Lumley
37710,Peter Hyams
38803,Roman Coppola
39996,Sidney Lumet
41293,Marian Seldes
42362,Eddie Deezen
43115,Clement von Franckenstein
43891,Lloyd Ahern II
44038,Nancy Allen
45863,Doris Roberts
47846,Ernest Day
47879,John Savage
51302,Joe Bucaro III
52699,Danny Mann
55227,William B. Kaplan
55228,Earl Sampson
55636,Donald Sutherland
58183,Michael I. Rachmil
58475,Angus MacInnes
59196,Joe Flaherty
61303,Dick Van Dyke
61838,Glenn R. Wilder
62036,Robert Carradine
62590,Jack Riley
63646,Frank Thomas
64181,Dave Goelz
65019,Lane Smith
65238,Mike Benson
65568,James Sikking
66142,Kenneth Wannberg
66226,Buddy Van Horn
66288,Roberts Blossom
67773,Steve Martin
72861,Robbie Robertson
73194,Barry Primus
73931,Bette Midler
74811,Dan Wallin
78021,Lloyd Kaufman
78619,David L. Lander
81538,Wayne Fitzgerald
84229,Mike Mazurki
88161,Debbi Morgan
91245,Arthur Morton
95741,George Plimpton
96722,Byron Foulger
100552,Mary Woronov
101377,Paul Bartel
101523,Rosemary Burrows
101615,Frank Pesce
102429,Roger Corman
102441,Dick Miller
103957,David Elliott
121323,Bess Flowers
127738,Harry Northup
132538,Jack Purvis
143786,Ollie Johnston
151657,Regis Philbin
184980,Burnell Tucker
406204,Ve Neill
555085,Bruce McBroom
957264,Susan Germaine
1045763,Harry Wilson
1080265,Michael Ensign
1194262,Brian Hamill
1194472,James Plannette
1208035,Bert Stevens
1208039,Arthur Tovey
1271092,Derek Lyons
1318092,Paul J. Lombardi
1338832,Richard Overton
1342626,John T. Reitz
1358074,Hazel Catmull
1360008,Joseph Oliveira
1368865,Alan Robert Murray
1378839,Bob Penn
1380036,Thomas Saccio
1389310,Gary Liddiard
1391387,Jerry Ross
1400372,Mickey Gilbert
1402117,Kerry Rossall
1411160,Elaine Schreyeck
1411293,Peter Sorel
1412188,Judith A. Cory
1415965,Teri E. Dorman
1424133,Paul Huston
1427543,Gordon Hayman
1521767,David Nichols
1532774,Jack Hayes
1629423,Philip Rogers
1648134,Dan Perri
